Year,Rank,Company,Industry,Country,Sales,Profits,Assets,Market Value,Region
2012,1764,Willis Group Holdings,Insurance,United Kingdom,3447,204,15728,6246,Europe
2012,1766,Samsung Electro-Mechanics,Consumer Durables,South Korea,5205,302,6348,6528,Asia
2012,1767,Arkema,Chemicals,France,8215,-27,6910,5716,Europe
2012,1767,Everbright Securities,Diversified Financials,China,767,334,9018,6920,Asia
2012,1767,Helmerich & Payne,Oil & Gas Operations,United States of America,2682,474,5258,6370,NorthAmerica
2012,1767,Interconexion Electrica,Utilities,Colombia,1909,182,13752,6919,SouthAmerica
2012,1771,Banca Popolare di Sondrio,Banking,Italy,1456,96,37865,2409,Europe
2012,1772,Misys,IT Software & Services,United Kingdom,609,1067,1201,1751,Europe
2012,1773,Mizrahi Tefahot Bank,Banking,Israel,1504,228,37532,1996,Asia
2012,1774,Andhra Bank,Banking,India,2063,286,24430,1409,Asia
2012,1774,Beijing Enterprises,Oil & Gas Operations,Hong Kong,3552,340,8546,7159,Asia
2012,1774,Lojas Americanas,Retailing,Brazil,6112,204,5125,7123,SouthAmerica
2012,1777,INA-Industrija Nafte,Oil & Gas Operations,Croatia,5157,312,5207,6296,Europe
2012,1778,Popular,Banking,United States of America,2498,151,37348,2300,NorthAmerica
2012,1779,Huayu Automotive,Consumer Durables,China,6685,381,5397,4208,Asia
2012,1779,Huntsman,Chemicals,United States of America,11221,243,8657,3347,NorthAmerica
2012,1781,E.Sun Financial,Diversified Financials,Taiwan,799,135,37197,2632,Asia
2012,1782,BBMG,Construction,China,3337,412,9185,5494,Asia
2012,1782,Hyundai Marine & Fire,Insurance,South Korea,7037,146,12181,2577,Asia
2012,1784,Fuyo General Lease,Business Services & Supplies,Japan,4914,162,19949,1086,Asia
2012,1785,Credito Valtellinese,Banking,Italy,1101,70,36882,820,Europe
2012,1786,United Development ,Real Estate,Qatar,524,1029,5233,1712,Asia
2012,1787,Dundee ,Diversified Financials,Canada,639,1029,3717,1287,NorthAmerica
2012,1788,PVH,Consumer Durables,United States of America,5756,292,6896,6035,NorthAmerica
2012,1788,UCO Bank,Banking,India,2759,204,36615,1038,Asia
2012,1790,Bank of Nagoya,Banking,Japan,830,43,36445,749,Asia
2012,1791,China Shipbuilding Industry,Capital Goods,China,3106,243,6652,14824,Asia
2012,1792,Oriental Land,"Hotels, Restaurants & Leisure",Japan,4285,276,6885,9382,Asia
2012,1793,Rowan Cos,Oil & Gas Operations,United States of America,939,737,6598,4576,NorthAmerica
2012,1793,Savola Group,"Food, Drink & Tobacco",Saudi Arabia,6719,321,5360,4679,Asia
2012,1793,Shenzhen Overseas,"Hotels, Restaurants & Leisure",China,2508,461,7274,6316,Asia
2012,1796,Royal BAM Group,Construction,Netherlands,9970,163,9176,1190,Europe
2012,1797,Syndicate Bank,Banking,India,2776,235,35102,1298,Asia
2012,1798,Travis Perkins,Retailing,United Kingdom,7421,330,6514,4296,Europe
2012,1799,First Marblehead,Diversified Financials,United States of America,296,983,756,127,NorthAmerica
2012,1799,Toyo Seikan Kaisha,Materials,Japan,8499,-53,10147,3201,Asia
2012,1801,Lawson,Food Markets,Japan,5397,311,5649,5866,Asia
2012,1802,LS Corp,Capital Goods,South Korea,11160,106,8593,2482,Asia
2012,1803,BMC Software,IT Software & Services,United States of America,2170,453,4088,6339,NorthAmerica
2012,1803,Saras,Oil & Gas Operations,Italy,14297,75,5392,1225,Europe
2012,1805,Henan Shuanghui Investment,"Food, Drink & Tobacco",China,5972,90,1241,7043,Asia
2012,1806,Kumho Petro Chemical,Chemicals,South Korea,5834,457,4068,3478,Asia
2012,1807,Jaccs,Diversified Financials,Japan,1398,53,33578,628,Asia
