Year,Country,Industry,Sales,Assets,Profits,Market Value,Sales Growth,Assets Growth,Profits Growth,Market Value Growth
2011,Japan,Transportation,176316,334686,2884,111693,-17.276907197147416,-0.8014463973443187,-61.07962213225371,-6.454773869346731
2011,Japan,Utilities,172898,441905,5820,137239,-20.49570055639859,-3.2395445587913296,-2525.0,-9.046987871959711
2012,Japan,Airline,16333,22139,280,7719,24.27147531005098,19.264127565587465,-145.60260586319217,-10.410863509749301
2012,Japan,Banking,216196,9964742,28143,290046,13.553090465985962,17.116520144798073,76.23520571106519,2.1220411310511
2012,Japan,Business Services & Supplies,111486,191498,5078,92062,6.186244535245877,8.257015580127991,19.48235294117646,-0.7385683633971962
2012,Japan,Capital Goods,193360,225043,8634,164199,20.562909571582665,12.81708075156911,193.573614416865,-0.10403358277057961
2012,Japan,Chemicals,179733,190576,6077,86115,47.7836522253924,28.550421585160212,321.7210270645385,14.942605445808855
2012,Japan,Construction,188790,202450,4307,74615,7.7999200593844575,7.760685580454574,112.06302314130969,-6.951078078040629
2012,Japan,Consumer Durables,1361797,1561883,35067,686613,16.884319630995613,11.009688133227291,202.4320827943079,-5.516566625659491
2012,Japan,Diversified Financials,40769,942126,1010,42220,0.2902757619738683,20.24858260942817,-52.200662565073365,-11.841473345722575
2012,Japan,Diversified Metals & Mining,183339,207604,3718,60376,53.89180341629245,19.373016238097417,-1682.1276595744682,-19.553370374811795
2012,Japan,Drugs & Biotechnology,157907,149647,7149,111203,14.383918869974654,16.564756467078467,3.9098837209302406,1.3396152479199452
2012,Japan,Food Markets,68011,50949,1680,30832,18.275886056137168,24.129613838469965,232.67326732673266,28.49879136450779
2012,Japan,"Food, Drink & Tobacco",116928,134495,3342,90945,-0.522366473260627,5.1161009464708584,13.867120954003397,12.681204311733364
2012,Japan,Health Care Equipment & Services,3948,4970,389,8977,16.770186335403725,10.86326120901182,-10.779816513761464,-24.65799412505245
2012,Japan,"Hotels, Restaurants & Leisure",4285,6885,276,9382,7.825868142929049,5.0183038438071925,1.4705882352941124,8.324673825193397
2012,Japan,Insurance,182331,973215,1292,68024,12.49097695653516,16.001029832973956,-55.46363322992072,-14.860382742781331
2012,Japan,Materials,35927,48116,-48,10938,14.482824549104588,14.761370954277675,-107.09010339734122,-1.4505811334354468
2012,Japan,Media,75960,69125,1246,29262,16.36920720030639,13.35497941981929,5.147679324894505,-11.060454089541349
