Year,Country,Industry,Sales,Assets,Profits,Market Value,Sales Growth,Assets Growth,Profits Growth,Market Value Growth,clusters
2012,United States of America,Capital Goods,255388,282028,23432,317971,44.97913769,32.93237619,78.21721935,23.03665124,0
2012,United States of America,Casinos & Gaming,31364,85426,4600,62989,83.87758691,83.00734806,-778.4660767,23.7286138,0
2012,United States of America,Chemicals,216968,277545,19722,305222,13.02064884,12.93334961,32.22043443,7.142430891,0
2012,United States of America,Conglomerates,306946,903183,28789,457819,-8.303434596,-7.039483232,2.059699376,-11.63757081,0
2012,United States of America,Construction,43299,20069,1429,22181,-37.70734725,-56.56812673,5.851851852,-44.0410717,0
2012,United States of America,Consumer Durables,813954,789820,64653,723217,6.486771476,7.740387435,37.65915769,5.998631079,0
2012,United States of America,Diversified Financials,617566,9233420,30037,802026,-3.795429408,-0.991700001,15.5891634,3.465998589,1
2012,United States of America,Diversified Metals & Mining,132073,196225,9139,128066,30.61016614,25.39620664,1.028078709,-19.26442405,0
2012,United States of America,Drugs & Biotechnology,530910,568385,39855,679813,6.276586162,2.728597042,26.11543573,15.76585705,0
2012,United States of America,Food Markets,222046,67316,2118,53815,6.182155529,-0.353785804,30.74074074,4.161424562,0
2012,United States of America,"Food, Drink & Tobacco",505084,556806,46772,815715,14.21399918,7.326579233,-4.521607773,17.33867488,0
2012,United States of America,Health Care Equipment & Services,610241,675472,47623,717055,-6.766392322,3.646259297,-5.148581899,0.518816745,0
2012,United States of America,"Hotels, Restaurants & Leisure",84024,81443,9871,220968,13.18192839,0.984513137,10.79806937,30.77660594,0
2012,United States of America,IT Software & Services,314803,475092,61661,1076988,7.817000538,10.0567783,5.752311043,13.64493003,0
2012,United States of America,Insurance,431642,3564204,40704,331586,0.433011231,-0.746696341,19.49622758,-13.49087911,0
2012,United States of America,Materials,62491,73082,2812,49605,4.801435567,2.654792673,1.296829971,7.161373947,0
2012,United States of America,Media,328362,641058,27932,456650,11.23713121,9.336789951,11.28730228,2.768550776,0
2012,United States of America,Oil & Gas Operations,1521526,1529764,125698,1442098,30.38038029,9.763025966,31.65127045,1.266873447,0
2012,United States of America,Real Estate,44456,453888,8142,293492,26.99537222,43.65089915,115.7964484,34.49239765,0
2012,United States of America,Retailing,1378852,768236,47011,911400,7.691935203,13.27840232,-1.89486425,15.77111514,0
2012,United States of America,Semiconductors,119969,165845,22785,303021,8.132785319,14.27970949,-6.507734603,4.602176817,0
2012,United States of America,Technology Hardware & Equipment,456591,565410,63289,1005659,16.13481671,16.22782224,27.06593318,21.71438254,0
2012,United States of America,Telecommunications Services,308721,674251,3888,370891,8.156179933,10.51664509,-80.93182933,12.63217672,0
2012,United States of America,Transportation,54906,111418,7792,119442,47.92682598,12.05897735,33.44750813,21.92811425,0
2012,United States of America,Utilities,292652,944237,24254,397446,-4.917670604,3.283119417,-2.590465481,6.204239127,0
2013,United States of America,Aerospace & Defense,248704,262345,13808,211761,4.582287317,8.367618387,-11.60617118,17.3880506,0
2013,United States of America,Air Courier,103968,73647,2948,123727,3.370518404,11.55255983,-50.37037037,8.016063556,0
2013,United States of America,Airline,129596,133680,-532,36794,3.745687136,1.474138062,1420,66.04539916,0
2013,United States of America,Banking,526450,10287037,78278,985888,-2.177932293,4.54862637,17.52571128,19.61843935,1
2013,United States of America,Business Services & Supplies,129067,227536,10681,212759,-15.618217,18.73219299,20.86681,33.39205888,0
2013,United States of America,Capital Goods,252197,284716,19042,297994,-1.249471393,0.953096856,-18.73506316,-6.282648418,0
2013,United States of America,Casinos & Gaming,34033,83724,-1239,64804,8.509756409,-1.992367663,-126.9347826,2.881455492,0
2013,United States of America,Chemicals,220983,302993,18714,342824,1.8505033,9.168963591,-5.111043505,12.31955757,0
2013,United States of America,Conglomerates,320431,916233,30788,534593,4.393280903,1.444889906,6.943624301,16.76950935,0
2013,United States of America,Construction,74640,70994,2827,49700,72.38273401,253.749564,97.8306508,124.0656418,0
2013,United States of America,Consumer Durables,837032,832752,51588,774648,2.835295361,5.435668887,-20.20787898,7.111420224,0
2013,United States of America,Diversified Financials,607851,9127086,68579,917599,-1.573111214,-1.15162096,128.3150781,14.41013134,1
2013,United States of America,Diversified Metals & Mining,125133,195641,2317,103093,-5.254669766,-0.297617531,-74.64711675,-19.50010151,0
2013,United States of America,Drugs & Biotechnology,543913,618891,49456,930670,2.449191012,8.88587841,24.08982562,36.90088304,0
